name,ja,zh
present.main.notice,期限が切れたプレゼントは自動的に削除されます。\rまた、一度に受け取れるプレゼントは100件までです。,기한이 지난 선물은 자동적으로 삭제됩니다.\r또、한번에 받을 수 있는 선물은 100건까지입니다
present.receive.title,プレゼント受け取り,선물 수령
present.receive.message,以下のプレゼントを受け取りました,이하의 선물을 받았습니다
present.receive.itemNameNum,%{Name} ×%{Num},
present.receiveAllConfirm.title,プレゼント一括受け取り,선물 일괄 수령
present.receiveAllConfirm.text,プレゼントを新しいものから\r100件まで受け取ります。\rよろしいですか？,선물을 새로운 것부터\r100건까지 받습니다. \r괜찮습니까?
present.receiveAll.title,プレゼント一括受け取り,선물 일괄 수령
present.receiveAll.message,以下のプレゼントを受け取りました,이하의 선물을 받았습니다
present.receiveAll.maxMessage,最大所持数を超えているため受け取れません,최대 소지수를 넘고 있기 때문에 받지 않습니다
present.receiveAll.maxMessageFooter,一部のプレゼントは最大所持数を超えているため\n受け取れませんでした,일부의 선물은 최대 소지수를 넘고 있기 때문에\n 받지 않았습니다
present.receiveAll.noPresentMessage,受け取れるプレゼントはありませんでした,받은 선물이 없었습니다
filterPop.filterTitle,絞り込み,압축
filterPop.filter.friendship,絆,인연
filterPop.filter.recoveryStamina,体力,체력
filterPop.filter.recoveryTension,テンション,텐션
filterPop.filter.avoidTrouble,トラブル,트러블
filterPop.filter.changeTrend,流行,유행
filterPop.filter.navigation,ナビゲート,안내
filterPop.filter.supportIdolsLottery,サポート,서포트
filterPop.filter.memoryPointUp,思い出,추억
filterPop.filter.defaultStatusUp,基礎能力,기초 능력
filterPop.filter.dance,Dance,Dance
filterPop.filter.vocal,Vocal,Vocal
filterPop.filter.visual,Visual,Visual
filterPop.filter.mental,メンタル,멘탈
filterPop.filter.limitStaminaUp,体力,체력
filterPop.filter.placeAppearRate,レッスン・\nお仕事,레슨・\n영업
filterPop.filter.commu,コミュ,커뮤
produce.header.ideaNote.emptyNotice,使用していません,사용하고 있지 않습니다
produce.resumePop.progress,シーズン %{season} / 残り %{restOfSeasonWeek}週,시즌 %{season} /나머지 %{restOfSeasonWeek}주
produce.produceItemPop.titleConfirm,使用確認,사용 확인
produce.produceItemPop.titleResult,プロデュースアイテム使用,프로듀스 아이템 사용
produce.produceItemPop.messageConfirm,以下のアイテムを使用しますか？,이하의 아이템을 사용합니까?
produce.produceItemPop.messageResult,以下のアイテムを使用しました,이하의 아이템을 사용했습니다
produceHeader.produceSeason,シーズン %{seasonNum},시즌 %{seasonNum}
produceItemPreparation.filterTitle,絞り込み,압축
produceItemPreparation.sortTitle,並び替え,정렬
produceItemPreparation.description.unselected,アイテムを選択していません,아이템을 선택하고 있지 않습니다
produceItemPreparation.itemList.empty,プロデュースアイテムを所持していません,프로듀스 아이템을 소지하고 있지 않습니다
produceItemPreparation.itemList.tips,プロデュースアイテムは、\r2つまで持っていくことができますよ〜,프로듀스 아이템은、\r2개까지 가지고 갈 수가 있어요~
produceItemPreparation.isNotRestricted,なし,없음
produceItemPreparation.isAreaRestricted,このアイテムは選択したプロデュースに\n持ち込むことができません,이 아이템은 선택한 프로듀스에\n반입할 수 없습니다
produceItemPreparation.sameEffectType,同じ効果のプロデュースアイテムを複数持ち込む\rことはできません,같은 효과의 프로듀스 아이템을 복수 반입\r할 수 없습니다
produceItemPreparation.beforeRelease,%{useOpenAt}以前は持ち込めません,%{useOpenAt}이전에는 반입할 수 없습니다
produceTop.deadline.season,シーズン%{seasonNum},시즌%{seasonNum}
produceTop.homeConfirmPop.title,ホームに戻る,홈으로 돌아간다
produceTop.homeConfirmPop.message,現在のプロデュース内容を保存して、\rホームに戻りますか？,현재의 프로듀스 내용을 보존해、\r홈으로 돌아갑니까?
produceTop.restConfirmPop.title,確認画面,확인 화면
produceTop.restConfirmPop.message,アイドルを休ませますか？,아이돌을 쉬게 합니까?
produceTop.releasedCommentsPop.title,ボイス解放,음성 해방
produceTop.releasedCommentsPop.message,を解放しました\r\rホーム画面にて聞くことができます\rアイドルアルバムで再生のON/OFFが可能です,를 해방했습니다\r\r홈 화면에서 들을 수 있습니다\r아이돌 앨범에서 재생 ON/OFF가 가능합니다
produceTop.concertConfirmPop.title,確認画面,확인 화면
produceTop.concertConfirmPop.message,ライブを開始しますか？,라이브를 개시합니까?
produceTop.ideaNoteAlertPop.title,アイデアノート確認,아이디어 노트 확인
produceTop.ideaNoteAlertPop.message.default,アイデアノートが設定されていません。\r新たなアイデアノートを設定しますか？,아이디어 노트가 설정되어 있지 않습니다.\r새로운 아이디어 노트를 설정합니까?
produceTop.ideaNoteAlertPop.message.complete,アイデアノートをコンプリートしました。\r新たなアイデアノートを設定しますか？,아이디어 노트를 컴플리트 했습니다.\r새로운 아이디어 노트를 설정합니까?
produceTop.ideaNoteAlertPop.message.expired,アイデアノートの期限が切れました。\n新たなアイデアノートを設定しますか？,아이디어 노트의 기한이 지났습니다. \n새로운 아이디어 노트를 설정합니까?
produceAction.auditionRule,特殊ルール,특수 룰
produceAction.auditionConditions,出場条件,출장 조건
produceMain.supportSkillsDialogTitle,発動中サポートスキル,발동중 서포트 스킬
produceCostume.requirements,を\r最大まで特訓する,를\r최대까지 특훈한다
produceCostume.casualCloth,私服衣装,사복 의상
produceCostume.idolCloth,ライブ衣装,라이브 의상
produceCostume.requirementsPopTitle,衣装解放条件,의상 해방 조건
produceCostume.changePopTitle,衣装変更確認,의상 변경 확인
produceSeasonResult.ideaNote.season,シーズン%{seasonNum},시즌%{seasonNum}
produceSeasonResult.ideaNote.emptyNotice,獲得できるアイデアノートが\rありません,획득할 수 있는 아이디어 노트가\r없습니다
produceAreaSelect.openTime,%{years}年%{months}月%{days}日%{hours}:%{minutes}以降に,%{years}년%{months}월%{days}일%{hours}:%{minutes}이후에
fanMeeting.live.evaluation.fanMeeting.good_performance,MVP,
fanMeeting.live.evaluation.fanMeeting.good_vocal,ベストボーカリスト,Best Vocalist
fanMeeting.live.evaluation.fanMeeting.good_dance,ベストダンサー,Best Dancer
fanMeeting.live.evaluation.fanMeeting.good_visual,ベストモデル,Best Model
fanMeeting.live.evaluation.fanMeeting.good_mental,ベストMC,Best MC
fanMeeting.live.evaluation.fanMeeting.good_skill,ベストテクニック,Best Technique
fanMeeting.live.evaluation.fanMeetingRehearsal.good_performance,グッドパフォーマンス,Best Performance
fanMeeting.live.evaluation.fanMeetingRehearsal.good_vocal,グッドボーカル,Good Vocal
fanMeeting.live.evaluation.fanMeetingRehearsal.good_dance,グッドダンス,Good Dance
fanMeeting.live.evaluation.fanMeetingRehearsal.good_visual,グッドビジュアル,Good Visual
fanMeeting.live.evaluation.fanMeetingRehearsal.good_mental,グッドメンタル,Good Mental
fanMeeting.live.evaluation.fanMeetingRehearsal.good_skill,グッドスキル,Good Skill
fanMeeting.helperSupportIdolFriendShipLevel,アイドルの絆：%{level},아이돌의 인연：%{level}
fanMeeting.callHelperSupportIdol,（感謝祭の準備……\nちょっと人手が足りないみたいだったな……）,（감사제의 준비……\n조금 일손이 부족한 것 같네……）
fanMeeting.selectHelperSupportIdol,（手伝いを頼めたらいいんだけど……\n……誰がいいだろう……？）,（도움을 부탁할 수 있으면 좋겠지만……\n……누가 좋을까……？）
produceReady.fanMeetingIdolRestrictionPop.title,編成アイドル制限,편성 아이돌 제한
produceReady.fanMeetingIdolRestrictionPop.text.produceIdol,上記アイドルは\nまだ「283プロファン感謝祭」で\nプロデュースアイドルに選択できません,상기 아이돌은\n아직 「283 프로 팬 감사제」의\n프로듀스 아이돌로 선택할 수 없습니다
produceReady.fanMeetingIdolRestrictionPop.text.supportIdol,上記アイドルは\nまだ「283プロファン感謝祭」で\nサポートアイドルに選択できません,상기 아이돌은\n아직 「283 프로 팬 감사제」의\n서포트 아이돌로 선택할 수 없습니다
profile.cardEditDialogTitle,名刺編集,명함 편집
profile.pfRecommend,名前を変更するには、データ連携が必要です,이름을 변경하려면、데이터 연계가 필요합니다
profile.error.ngWord,\n禁止ワードが含まれています,\n금지 단어가 포함되어 있습니다
profile.error.wordLength,\n入力文字数が不正です,\n입력 문자 수가 부정합니다
profile.commentEditDialog.title,自己紹介編集,자기 소개 편집
profile.commentEditDialog.commentDefault,よろしくお願いします,잘 부탁드립니다
profile.commentEditDialog.textLengthCount,%{count}/20,
profile.options.showUserName,プロデューサーネーム,프로듀서 이름
profile.options.showUserTitle,称号,칭호
profile.options.showProfileComment,自己紹介,자기소개
profile.options.showFesDeckRank,フェスユニット評価,페스유닛 평가
profile.options.showUserGrade,最高到達グレード,최고 도달 그레이드
profile.options.showCharacterFan,ファン人数,팬 인원수
userPolicy.title,利用規約,이용규약
userPolicy.warningText,ないようがわからないときは\nおうちのひとにがめんをみせてください。,내용이 이해가 안되는 경우에는\n다른 분에게 화면을 보여주세요
shop.headerTitle,ショップ,샵
shop.headerTitles.money,マニー,머니
shop.headerTitles.jewel,ジュエル,쥬엘
shop.headerTitles.gameEvent,イベント,이벤트
shop.headerTitles.prevGameEvent,イベント,이벤트
shop.headerTitles.premium,プレミアム,프리미엄
shop.headerTitles.staffItemPoint,はづきさん,하즈키씨
shop.headerTitles.memorialPiece,メモリアルピース,메모리얼피스
shop.headerTitles.exchangeItem,衣装,의상
shop.headerTitles.trade,リサイクル,재활용
shop.shopDescriptions.money,マニーを使用してアイテムと交換できます,머니를 사용해 아이템과 교환할 수 있습니다
shop.shopDescriptions.jewel,フェザージュエルを使用してアイテムと交換できます,패더 쥬엘을 사용해 아이템과 교환할 수 있습니다
shop.shopDescriptions.gameEvent,イベントで入手したポイントとアイテムを交換できます,이벤트로 입수한 포인트와 아이템을 교환할 수 있습니다
shop.shopDescriptions.premium,いろいろなお買い得アイテムを購入できます,여러가지 알뜰구매 아이템을 구입할 수 있습니다
shop.shopDescriptions.staffItemPoint,はづきさんシールを使用してアイテムと交換できます,하즈키씨씰을 사용해 아이템과 교환할 수 있습니다
shop.shopDescriptions.memorialPiece,メモリアルピースを使用してアイテムと交換できます,메모리얼피스를 사용해 아이템과 교환할 수 있습니다
shop.shopDescriptions.exchangeItem,特別な衣装の交換・確認ができます,특별한 의상의 교환·확인을 할 수 있습니다
shop.shopDescriptions.trade,複数のアイテムを別のアイテムに変換できます,복수의 아이템을 다른 아이템으로 변환할 수 있습니다
shop.possessionLabel,所持%{currencyName},소지%{currencyName}
shop.shopItem.jewel,ジュエル,쥬엘
shop.shopItem.billedJewel,有償ジュエル,유상 쥬엘
shop.shopItem.freeJewel,無償ジュエル,무상 쥬엘
shop.shopItem.piece,ピース,피스
shop.shopItem.priceLabel,必要%{currencyName},필요%{currencyName}
shop.shopItem.disableText.lack,%{currencyName}不足,%{currencyName}부족
shop.salesItemText.2106,お一人様1つ限定！\n「1st Anniversary 10連ガシャチケット×1」に「SR特訓はづきさん（プロデュース）×1」と「ゴールドトレーニングチケット×20」がついてくる特別なパッケージです！,1인 1개 한정! \n「1st Anniversary 10연가챠 티켓×1」에 「SR특훈하즈키씨(프로듀스)×1」와 「골드 트레이닝 티켓×20」이 따라 오는 특별한 패키지입니다!
shop.salesItemText.2107,お一人様1つ限定！\n「ユニット別10連ガシャチケット×3」や「SSR特訓はづきさん（プロデュース）×1」「SSR特訓はづきさん（サポート）×1」などが入った特別なパッケージです！,1인 1개 한정! \n「유닛별 10연가챠 티켓×3」이나 「SSR 특훈하즈키씨(프로듀스)×1」 「SSR 특훈하즈키씨(서포트)×1」등이 들어간 특별한 패키지입니다!
shop.salesItemText.2108,お一人様1つ限定！\n「10連ガシャチケット×1」に、好きなSSRアイドルを１人選べる「セレクションチケット」がついた、特別なパッケージです！,1인 1개 한정! \n「10연가챠 티켓×1」에、좋아하는 SSR 아이돌을 1 인선 「셀렉션 티켓」이 붙은、특별한 패키지입니다!
shop.salesItemText.2109,お一人様1つ限定！\n「10連ガシャチケット×1」に、選択した好きなユニットからSSRアイドルを確率で獲得できる「ユニット別SSR確定ガシャチケット×1」がついた、特別なパッケージです！,1인 1개 한정! \n「10연가챠 티켓×1」에、선택한 좋아하는 유닛으로부터 SSR 아이돌을 확률로 획득할 수 있는 「유닛별 SSR 확정 가챠 티켓×1」이 붙은 특별한 패키지입니다!
shop.salesItemDialog.remainingText1,あと,앞으로
shop.salesItemDialog.remainingText2,で販売終了,로 판매 종료
shop.purchaseConfirmation.title,購入確認,구입 확인
shop.purchaseConfirmation.message,%{currencyName}を消費して\n以下のアイテムを購入しますか？,%{currencyName}를 소비해\n이하의 아이템을 구입합니까?
shop.purchaseConfirmation.messageSimple,以下のアイテムを購入しますか？,이하의 아이템을 구입합니까?
shop.purchaseConfirmation.notice.convertMerchandise,解放済みのコミュはアルバムの鍵に変換されます,해방된 커뮤는 앨범의 열쇠로 변환됩니다
shop.purchaseConfirmation.notice.jewelMerchandise,無償フェザージュエルから先に消費されます,무상 패더 쥬엘부터 먼저 소비됩니다
shop.exchangeConfirmation.title,交換確認,교환 확인
shop.exchangeConfirmation.message,%{exchangeItemName}を消費して\n以下のアイテムと交換しますか？,%{exchangeItemName}를 소비해\n이하의 아이템과 교환합니까?
shop.banaCoinShopNotice,バナコイン決済とクレジットカードかんたん決済が使用できます,바나코인 결제와 신용카드 간단 결제를 사용할 수 있습니다
shop.purchaseError.purchaseCountOver,購入上限を超えています,구입 상한을 넘고 있습니다
shop.purchaseError.possessionCountOver,所持上限を超えています,소지 상한을 넘고 있습니다
shop.purchaseError.moneyShortage,マニーが足りません,머니가 충분하지 않습니다
shop.useBanaCoinConfirmation.message,バナコインで以下のアイテムを%{purchaseCount}個購入します,바나코인으로 이하의 아이템을%{purchaseCount}개 구입합니다
shop.purchaseResult.title,購入結果,구입 결과
shop.purchaseResult.message,%{title}を購入しました,%{title}를 구입했습니다
shop.purchaseResult.twoLinesMessage,%{title}を\r購入しました,%{title}를\r구입했습니다
shop.purchasableText.noLimitText,なし,없음
shop.exchangeResult.title,交換結果,교환 결과
shop.exchangeResult.message,%{title}と交換しました,%{title}와 교환했습니다
shop.exchangeResult.twoLinesMessage,%{title}と\r交換しました,%{title}와\r교환했습니다
shop.currencyLabel.jewelType.billedJewel,有償,유상
shop.currencyLabel.jewelType.freeJewel,無償,무상
shop.expireDate,【交換期限】%{closeAt}まで,【교환기한】%{closeAt}까지
shop.noShopItem,交換可能なアイテムがありません。,교환 가능한 아이템이 없습니다
recycleShop.tradeConfirmation.title,交換確認,교환 확인
recycleShop.tradeConfirmation.message,以下のアイテムを交換しますか？,이하의 아이템을 교환합니까?
recycleShop.purchaseResult.title,交換結果,교환 결과
recycleShop.purchaseResult.message,%{title}を交換しました,%{title}를 교환했습니다
recycleShop.purchaseResult.twoLinesMessage,%{title}を\r交換しました,%{title}를\r교환했습니다
skillBord.header,振り返り,복습하기
skillBord.acquireConfirmationTitle,スキル習得確認,스킬 습득 확인
skillBord.acquireConfirmationMessage,SPを%{skillPoint}消費してスキルを習得しますか？,SP를 %{skillPoint}소비해 스킬을 습득합니까?
skillBord.deleteSkillConfirmationTitle,スキル入れ替え確認,스킬 교체 확인
skillBord.acquiredMessage,既に習得済みのスキルです。\r\n\r\nスキルポイントを消費せず、\r\nパネルの解放のみを行います。,이미 습득 끝난 스킬입니다. \r\n\r\n스킬 포인트를 소비하지 않고、\r\n패널의 해방만을 실시합니다.
skillBord.produceAreaSkillList.title,%{produceTitle} 限定スキル,%{produceTitle} 한정 스킬
skin,衣装,의상
skinExchange.headerTitle,衣装ショップ,의상샵
skinExchange.noMerchandiseNotice,交換できる衣装がありません。,교환할 수 있는 의상이 없습니다
skinExchange.shop.possessionMarkCaption,所持数,소지수
skinDetail.plainOnlyNotice,衣装変更対象は私服衣装のみとなり、ライブ衣装は変更されません。,의상 변경 대상은 사복 의상만 되며、라이브 의상은 변경되지 않습니다
skinDetail.concertOnlyNotice,衣装変更対象はライブ衣装のみとなり、私服衣装は変更されません。,의상 변경 대상은 라이브 의상만 되며、사복 의상은 변경되지 않습니다
skinKind.plain,私服衣装,사복 의상
skinKind.concert,ライブ衣装,라이브 의상
specialCommunication.confirmationTitle,スペシャルコミュ再生確認,스페셜커뮤 재생 확인
specialCommunication.confirmationComment,%{title}\nが再生できます。\n\n再生しますか？,%{title}\n을 재생할 수 있습니다。\n\n재생합니까?
specialCommunication.achievementRewardDialogTitle,スペシャルコミュ再生報酬,스페셜커뮤 재생 보상
speaker.producer,プロデューサー,프로듀서
speaker.ceo,社長,사장
speaker.judge,審査員,심사원
spine.cb,ちびキャラ,꼬마 캐릭터
spine.cbCostume,ちびキャラ(ライブ),꼬마 캐릭터(라이브)
spine.cbSub,ちびサブキャラ,꼬마 서브 캐릭터
spine.stand,等身キャラ,등신 캐릭터
spine.standSub,等身サブキャラ,등신 서브 캐릭터
titleSelect.result.message,称号を設定しました,칭호를 설정했습니다
supportIdol.remaining,あと %{remaining},앞으로 %{remaining}
training.gainExpLabel,獲得Exp,획득Exp
training.skillListTitle,習得するサポートスキル,습득한 서포트 스킬
training.startConfirm,トレーニング確認,트레이닝 확인
training.resultTitle,トレーニング成功,트레이닝 성공
training.resultTitleGreat,トレーニング大成功,트레이닝 대성공
trend.historyText,先週%{rank}位,지난 주%{rank}위
trend.txtNextFan,あと  %{count}人,앞으로  %{count}명
tutorial.openingMessage.mes0,「アイドル」,「아이돌」
tutorial.openingMessage.mes1,それは,그것은
tutorial.openingMessage.mes2,女の子達の永遠の憧れ,여자아이들의 영원한 동경
tutorial.openingMessage.mes3,だがアイドルの頂点に立てるのは,하지만 아이돌의 정점으로 서는 것은
tutorial.openingMessage.mes4,ただ、1組……,오직、1그룹……
tutorial.openingMessage.mes6,そんなサバイバルな世界に,그런 서바이벌인 세계에
tutorial.openingMessage.mes7,今23人の女の子と,지금 23명의 여자아이와
tutorial.openingMessage.mes8,１人のプロデューサーが,1명의 프로듀서가
tutorial.openingMessage.mes9,足を踏み入れる！,발을 디딘다!
tutorial.skipPop.message,次のチュートリアルまでスキップします\nよろしいですか？,다음의 튜토리얼까지 스킵하려고 합니다\n괜찮겠습니까?
tutorial.skipPop.title,確認,확인
tutorial.skipPop.warning1,各機能の説明はチュートリアル終了後も,각 기능의 설명은 튜토리얼 종료 후에도
tutorial.skipPop.warning3,から確認可能です。,로부터 확인 가능합니다
tv.appearance,テレビ出演を果たした。\n,텔레비젼 출연을 완수했다。\n
tv.appearanceAfter,アイドル達の魅力が引き出されたように感じる。,아이돌들의 매력이 끌어진 것 같다。
tv.performanceComment,今話題のアイドルが登場！圧巻のパフォーマンスを披露！,지금 화제의 아이돌이 등장! 압권의 퍼포먼스를 피로!
twitter.PINCodeDialog.title,Twitter連携,Twitter제휴
twitter.PINCodeDialog.description,Twitterに投稿するには、PINコードを取得して\nTwitterとの連携を認証する必要があります,Twitter에 투고하려면、PIN 코드를 취득해\nTwitter와의 제휴를 인증할 필요가 있습니다
twitter.PINCodeDialog.PINCodeComment,取得したPINコードを入力してください,취득한 PIN 코드를 입력해 주세요
twitter.PINCodeDialog.textBoxDefaultComment,PINコード入力,PIN 코드 입력
twitter.alreadyAuthenticatedDialog.title,確認,확인
twitter.alreadyAuthenticatedDialog.description,既に連携済みです,이미 제휴가 끝난 상태입니다
twitter.authenticateFailedDialog.title,エラー,에러
twitter.authenticateFailedDialog.description,PINコードの認証に失敗しました\n再度PINコードを取得してください,PIN 코드의 인증에 실패했습니다 \n재차 PIN 코드를 취득해 주세요
twitter.illustrationSelectDialog.title,イラスト選択,일러스트 선택
twitter.illustrationSelectDialog.description,どちらのイラストを使用しますか？,어느 쪽의 일러스트를 사용합니까?
twitter.illustrationSelectDialog.illustrationType.card,私服衣装,사복 의상
twitter.illustrationSelectDialog.illustrationType.fesCard,ライブ衣装,라이브 의상
twitter.postDialog.title,Twitter投稿,Twitter투고
twitter.postDialog.authenticatingAccount,%{screenName} で認証中,%{screenName} 로 인증중
twitter.postDialog.textBoxDefaultComment,テキスト入力,텍스트 입력
twitter.postDialog.description,イラストと上記の文章を含めてTwitterに投稿されます,일러스트와 상기의 문장을 포함해 Twitter에 투고됩니다
twitter.postDialog.businessCardDescription,各種画像と上記の文章を含めてTwitterに投稿されます,각종 그림과 상기의 문장을 포함해 Twitter에 투고됩니다
twitter.postDialog.textLengthCount,%{count}/140,
twitter.postDialog.staticComment.favoriteIdol,魅力たっぷりのアイドルをプロデュースしてみよう！担当はこのアイドル！,매력 충분한 아이돌을 프로듀스해 보자! 담당은 이 아이돌!
twitter.postDialog.staticComment.gashaResult,%{idolName}\nに出会ったよ！とっても素敵なアイドル！,%{idolName}\n를 만났어! 매우 멋진 아이돌!
twitter.postDialog.staticComment.businessCard,よろしくお願いします。\n#シャニマス名刺,잘 부탁드립니다. \n#샤니마스 명함
twitter.postDialog.staticHashTag,#シャニマス #idolmaster,#샤니마스 #idolmaster
twitter.tweetSuccessDialog.title,投稿完了,투고 완료
twitter.tweetSuccessDialog.description,投稿が完了しました,투고가 완료됐습니다
twitter.tweetFailedDialog.title,エラー,에러
twitter.tweetFailedDialog.description,投稿に失敗しました\nもう一度投稿するか再度認証を行ってください,투고에 실패했습니다 \n 한번 더 투고할지 재차 인증을 실시해 주세요
twitter.tweetFailedLimitRateDialog.title,エラー,에러
twitter.tweetFailedLimitRateDialog.description,ゲーム全体でのツイート数が\nTwitterの制限に達しているため\nツイートすることができません\n\nしばらく時間を置いてお試しください,게임 전체에서의 트윗수가\nTwitter의 제한에 이르고 있기때문에\n트윗 할 수가 없습니다\n\n당분간 시간을 두고 시도해 주세요
useBanaCoinPop.title,使用確認,사용 확인
useBanaCoinPop.checkDescription,enzaポイントをバナコインに変換する,enza 포인트를 바나코인으로 변환한다
workActivityTop.motivationLevel,モチベーションボーナス %{motivationLevel},모티베이션 보너스 %{motivationLevel}
workActivityTop.createItemTitle,お手製差し入れ作成,수제 간식 만들기
workActivityTop.createItemResultTitle,作成結果,만든 결과
workActivityTop.purchaseSlotDescription,営業枠を１つ解放します\nよろしいですか？,영업범위를 1개 해방합니다 \n괜찮습니까?
workActivityTop.purchaseBilledOnlyNotice,有償フェザージュエルでのみ購入可能,유상 패더 쥬엘로만 구입 가능
workActivityTop.possessedJewelShortMessage,所持フェザージュエルが不足しています,소지 패더 쥬엘이 부족합니다
workActivityReady.startDialogTitle,営業開始確認,영업 개시 확인
workActivityReady.motivationLevel,モチベーションボーナス %{motivationLevel},모티베이션 보너스 %{motivationLevel}
workActivityReady.motivationBonusDetail,獲得経験値とファン数が%{bonusRate}倍,획득 경험치와 팬수가 %{bonusRate}배
workActivityReady.motivationBonusNone,モチベーションボーナスはありません,모티베이션 보너스는 없습니다
workActivityResult.skillListTitle,習得したサポートスキル,습득한 서포트 스킬
workActivityResult.totalFan.idolName,【%{name}】累計ファン人数,【%{name}】누계 팬 인원수
individualRanking.heldAt,%{time}まで,%{time}까지
individualRanking.tallyAt,%{time}まで,%{time}까지
individualRanking.rewardAt,%{time}から,%{time}부터
individualRanking.outOfRanking,圏外,권외
individualRanking.popup.title,ランキング報酬,랭킹 보상
individualRanking.popup.headingBorder,順位,순위
individualRanking.popup.rewardBorder,%{start}位,%{start}위
individualRanking.popup.rewardBorderRange,%{start}位〜%{end}位,%{start}위~%{end}위
individualRanking.popup.itemNameNum,%{type} ×%{num},
individualRanking.accumulatedPresentListPop.title,累計ファン数達成報酬一覧,누계 팬수달성 보상 일람
individualRanking.accumulatedPresentListPop.needFan,%{fan} 人,%{fan} 명
individualRanking.accumulatedPresentGetPopup.title,累計ファン数達成報酬,누계 팬수달성 보상
individualRanking.accumulatedPresentGetPopup.text,以下のアイテムがプレゼントBOXに送られました,이하의 아이템이 선물 BOX에 보내졌습니다
individualRanking.characterRankingOutOfTermPop.title,集計期間外,집계 기간외
individualRanking.characterRankingOutOfTermPop.text,現在は\n「%{name}」\nのランキング集計期間外です\n\n集計期間外にプロデュースや営業を達成しても\nイベントランキングのファン数には加算されません,현재는\n「%{name}」\n의 랭킹 집계 기간외입니다\n\n집계 기간외에 프로듀스나 영업을 달성해도\n이벤트 랭킹의 팬수에는 가산되지 않습니다
staffItemPointSimple,シール,씰
trust.rewardPop.innerLabel,信頼度はすべてのプロデュースアイドルで共通となります。,신뢰도는 모든 프로듀스 아이돌에 공통이 됩니다
trust.rewardPop.level,信頼度\rLv.%{level},신뢰도\rLv.%{level}
trust.rewardPop.rewardName,%{name}×%{num},
trust.rewardPop.title,信頼度Lv.報酬（%{characterName}）,신뢰도Lv.보상（%{characterName}）
eventPoint.genericName,ポイント,포인트
eventPoint.game,イベントP,이벤트P
eventPoint.scenario,シナリオP,시나리오P
eventPoint.fes,フェスP,페스P
eventPoint.box,ボックスP,박스P
eventPoint.ranking,ランキングP,랭킹P
eventShop.noShopNotice,期間内のショップがありません。,기간내의 샵이 없습니다
eventShop.noExchangeMerchandiseNotice,交換できるアイテムがありません。,교환할 수 있는 아이템이 없습니다
exchangeItem.petitSelectionTicket.original,プチセレクションチケット,푸치 셀렉션 티켓
exchangeItem.petitSelectionTicket.simple,チケット,티켓
fes.result.score,%{value}pt,
fes.result.scoreDetail.appeal,%{appeal}×%{num},
gasha.ticketGashaCount,x%{count},
gasha.idolRate,%{ssrRate}%\n%{srRate}%\n%{rRate}%,
gasha.supportIdolRate,%{ssrRate}%\n%{srRate}%\n%{rRate}%,
gasha.ssrText,SSR,
gasha.srText,SR,
gasha.rText,R,
gasha.scoutGasha.ticketCount,x%{count},
header.eventShop,イベントショップ,이벤트샵
mission.missionCountMessage,%{clearedMissionLen}/%{missionLen},
mission.gaugeNumberMessage,%{progress}/%{progressMax},
option.volumeTitle.bgm,BGM,
option.volumeTitle.se,SE,
idolDetail.skill.level,Lv.%{level},
idolDetail.supportParameter.maxLevel,/%{level},
idolDetail.profile.height,%{height}cm,
idolDetail.profile.weight,%{weight}kg,
idolDetail.profile.bloodType,%{bloodType}型,%{bloodType}형
idolDetail.profile.figure,%{bust}/%{waist}/%{hip},
idolDetail.totalFan.fan,%{fan}人,%{fan}명
idolDetail.produceDeck.lastFan,%{fan}人,%{fan}명
idolDetail.produceDeck.detailPop.level,Lv.%{level}/%{limitLevel},
idolDetail.tradeConfirmDialog.addition,+%{num},
idolDetail.tradeResultDialog.idolName,%{idolName},
idolDetail.event.neverReadEventTitle,???,
invitation.receivedMessage.singularNum,,
invitation.receivedMessage.multipleNum,×%{num},
invitation.receivedMessage.message,・%{typeText}%{numText},
item.itemConfirm.name,%{name},
item.itemConfirm.beforeItemNum,%{num},
item.itemConfirm.afterItemNum,%{num},
item.itemConfirm.beforeValue,%{value},
item.itemConfirm.afterValue,%{afterValue}(+%{gainValue}),
item.itemResult.name,%{name},
item.itemResult.beforeItemNum,%{num},
item.itemResult.afterItemNum,%{num},
item.itemResult.beforeValue,%{beforeValue},
item.itemResult.afterValue,%{afterValue}(+%{gainValue}),
popJoinRecommend.textDefault,,
present.receiveAll.itemNameNum,%{type} ×%{num},
present.valentine.title,バレンタインプレゼント受け取り,발렌타인 선물 받기
present.valentine.message,%{firstName}から\nバレンタインプレゼントを受け取りました,%{firstName}로부터\n발렌타인 선물을 받았습니다
filterPop.filter.sp,SP,
produceHeader.concertSeason,W.I.N.G.,
produceAction.auditionParameterUp,+???,
shop.purchaseConfirmation.itemAfter,%{total}(+%{itemAfter}),
shop.exchangeConfirmation.itemAfter,%{total}(+%{itemAfter}),
shop.useBanaCoinConfirmation.merchandise,%{title},
shop.purchasableText.limited,%{purchasedNum}/%{limitNum},
shop.purchasableText.limitedShort,/  %{num},
shop.purchasableText.noLimit,%{purchasedNum}/  ー,
shop.purchasableText.noLimitShort,/  ー,
training.levelLabel,Lv.,
training.selectedNum,x%{num},
trend.txtFan,%{count}人,%{count}명
tutorial.openingMessage.mes5,,
tutorial.skipPop.warning2,TIPS,
twitter.postDialog.staticURL,https://go.enza.fun/IddpjY,
