ja,zh
──いいステージだった\nこれからも期待しているぞ,─좋은 스테이지였다\n앞으로도 기대하겠어
今日……この時……\n実を結ぶ、時……,"오늘……지금……\n결실을 보는, 때……"
それでは、 \nリハーサルの講評をお伝えします,"그러면, \n리허설의 평가를 전달합니다"
レッスンの成果が出ていますね\n本番もこの調子で頑張ってください！,레슨의 성과가 나왔네요\n실전도 이대로 노력해 주세요!
はい……\n慢心せず……努めて参ります……,네……\n자만하지 않고…… 노력하겠사옵니다……
ファンのみんなと盛り上がれて、\nすっごく楽しかったー！,"팬 여러분과 분위기가 고조되어,\n무척 즐거웠다-!"
不合格……ですか……\n至らぬ凛世を……お許しください……,불합격……입니까……?\n부족한 린제를……용서해주세요……
合格……でしょうか……\n驚きました……,합격……입니까……?\n놀랐습니다……
シーズン終了です。残念ながら目標には届きませんでした\nやはり、壁は厚いですね……,"시즌 종료입니다. 유감스럽게도 목표를 달성하지 못했습니다\n역시, 벽은 두껍네요……"
やったぁ、合格しました！　ありがとうございます！,"해냈다, 합격했어요! 고맙습니다!"
不合格ですか……\n次は、もっと頑張ります！,"불합격인가요……\n다음은, 더욱 열심히 할게요!"
合格者、おめでとう\nああ、他の子たちはもう帰っていいわよ,"합격자, 축하합니다\n아, 다른 아이들은 이제 돌아가도 좋아요"
まあ、仕方ねーか\n次、頑張ればいいだけだし……,"뭐, 어쩔 수 없나\n다음에, 열심히 하면 될뿐이고"
よしっ！　なんとか合格したみてーだな,좋아! 어떻게든 합격한 것 같다
準決勝合格者の皆さま、おめでとうございます\n今、呼ばれなかった方は、ここで脱落となります,"준결승 합격자 여러분, 축하합니다\n지금, 호명되지 않은 분은, 여기서 탈락입니다"
ダメ……だった、か……,"안된……것, 인가……"
トップになるにはまだまだ遠い……\nでもなんでだろーな、アンタとなら叶えられる気がするんだ\n……ナンバーワンも夢物語なんかじゃない、よな！,"톱이 되려면 아직도 멀은……\n하지만 어째선지, 너와 함께라면 실현할 수 있을 거 같아\n……넘버원도 꿈 같은 이야기가 아닌, 거야!"
本当に残念ですが、先程、連絡があり、\n「W.I.N.G.」への参加はできないと伝えられました,"정말로 유감입니다만, 조금 전, 연락이 와서, \n「W.I.N.G.」에 참가는 할 수 없다고 전달받았습니다"
よっしゃっ！　優勝まで後一歩だぜ！,좋았어! 우승까지 앞으로 한 걸음이다!
優勝者の方、おめでとうございます！\n皆さんに姿を見せてください。ここがアイドルの頂点です！,"우승자 분, 축하합니다!\n모두에게 모습을 보여 주세요. 여기가 아이돌의 정점입니다!"
ま、マジで……アタシが……優勝……？\n～～っ、やったぜ！,"뭐, 진짜로……내가……우승……? \n했다구!"
ほんと、アンタってなんか危なっかしいんだよなー……\nちゃんと気を付けろよな\nこれでも……頼りにしてるんだからさ,"정말, 너는 뭔가 위태위태하단말야……\n제대로 정신차리라구\n이래 봬도……의지하고 있으니까"
甜花が……合格……？　ほ、ほんとに……？,"텐카가…… 합격……? 저, 정말……?"
合格の人、おめでとう！\n他の子たちは、帰っていいよ。おつかれー,"합격자, 축하합니다! \n다른 아이들은, 돌아가도 좋아. 수고했어요"
不合格……やっぱり、甜花じゃ……ダメだったね……,"불합격…… 역시, 텐카는…… 안되겠지……"
にへへ……甜花も……やればできる……,니헤헤…… 텐카도……하면 할 수 있다……
ここまで来れた……\n信じられない……けど、ほんとなんだよね……？,"여기까지 왔다니……\n믿을 수 없어…… 하지만, 진짜네요……?"
負けちゃった……\nでも、前の甜花じゃ、ここまでこれなかったから……,"져 버렸다……\n하지만, 예전의 텐카였다면, 여기까지 올 수 없었으니까……"
なんと……「W.I.N.G.」出場が決まりました\nやりましたね。プロデューサーさん！,무려……「W.I.N.G.」출현이 정해졌습니다\n해냈어요. 프로듀서님!
それから今週は……\nもうひとつ、大事なお知らせがあるんです,"그리고 이번 주는……\n또 하나, 중요한 소식이 있습니다"
雪、一緒に探してくれて\nありがとうございました\nまた、見たいですね……,"눈, 함께 찾아 주셔서\n감사합니다\n또, 보고 싶네요……"
ほわぁ……っ\nプロデューサーさんっ、命中しましたっ,호와아……\n프로듀서님、명중했습니닷
合格ですかっ、ありがとうございますっ！,"합격입니까, 감사합니닷!"
うふふっ、どの子も可愛かったけど……\n今回の合格者は──,우후훗、어느 아이도 사랑스러웠지만……\n이번 합격자는─
う～ん……なんでなんだろ,응…… 어째서일까
合格者の方、おめでとうございます\nそれ以外の方、お疲れさまでした,합격자 분、축하합니다 \n그외 분들도、수고하셨습니다
合格の子、素敵だったわよ\nアタシ、気にいっちゃった。どんどん活躍してってね,합격한 애、멋졌어\n나、마음에 들었어. 점점 더 활약하고 있길 바래요
おめでとうございます。ランクアップです\nまたひとつ、夢に近づきましたね！,축하합니다. 랭크업입니다\n 또 하나、꿈에 가까워졌어요!
プロデューサーさん、シーズン終了です！\nその見事な手腕、来シーズンも見せてくださいね！,프로듀서님、시즌 종료입니다! \n그 훌륭한 수완、다음 시즌도 보여주세요!
それでは発表します\n今回の合格者は──,그러면 발표합니다 \n이번 합격자는─
合格者の方、おめでとうございます！\n本番まで、しばらくお待ちください,합격자 분、축하합니다! \n실전까지、당분간 기다려 주세요
う～ん、みんなビシッとキマってたが\n今回合格したのは──,응、모두 멋지게 보여줬지만\n이번 합격한 사람은─
合格した人、おめでとう！\nよかったよ。本番もその調子でやっちゃって！,합격한 사람、축하합니다! \n다행이네요. 실전도 그 상태로 해 버려요!
お待たせしました。審査が終了しましたので、\n『W.I.N.G.』準決勝の結果発表をさせていただきます,오래 기다리셨습니다. 심사가 종료했으므로、\n『W.I.N.G.』준결승의 결과 발표를 하겠습니다
準決勝合格者の皆さま、おめでとうございます\n次は決勝です。ぜひ、今までで最高の姿を見せてください,준결승 합격자 여러분、축하합니다 \n다음은 결승입니다. 꼭、지금까지의 최고의 모습을 보여 주세요
次はぁ、ちょっとだけ本気だしちゃいますねー,다음은、조금 진심을 낼거예요-
お待たせしました。審査が出そろいましたので、\n『W.I.N.G.』決勝の結果発表をさせていただきます,오래 기다리셨습니다. 심사원이 다 모였으므로、\n『W.I.N.G.』결승의 결과 발표를 하겠습니다
優勝者の方、おめでとうございます\nその他の方々は惜しくも敗退です。お疲れさまでした,우승자분、축하합니다 \n그 외 분들은 아깝게도 탈락입니다. 수고하셨습니다
もう少し真面目にレッスンすればよかったです……,좀 더 성실하게 레슨 하면 좋았을 것입니다……
プロデュースお疲れ様でした\nこの後は、フェスへ参加してみましょう！,프로듀스 수고 하셨습니다\n이 뒤는、페스에 참가해 봅시다!
プロデューサーさん、シーズン２が終了しましたよ\nみなさんと一緒に、リハーサルも頑張ってくださいね～,프로듀서님、시즌 2가 종료했어요\n여러분과 함께、리허설도 노력해 주세요~
ふふっ……鳩さんは、\nふわふわ～っとお日様の\nいい匂いがするんですよっ,후훗…… 비둘기씨는、\n둥실둥실~과 햇님의 \n좋은 냄새가 납니다
次の夢も、その次の夢も\nずっとプロデューサーさんと\n一緒に叶えていきたいです……,다음의 꿈도、그 다음의 꿈도\n쭉 프로듀서님과\n함께 실현해 가고 싶습니다……
ば、バレンタインなので……\nあの……っ、これをプロデューサーさんに……っ,바、발렌타인인 것으로……\n그……、이것을 프로듀서님에게……
キラキラのステージ\nファンのみなさんと一緒に、力いっぱい駆けていきますっ,반짝반짝의 스테이지\n팬의 여러분과 함께、힘껏 달려 갑니닷
もうちょっと……その……\n近づいて歩きませんか……？,좀 더…… 그……\n가까이서 걷지 않겠습니까……?
ここまでの成果、ファンの\nみなさんに届けてきます,여기까지의 성과、팬\n여러분께 전해 드리겠습니다
プロデューサーも、こっちで\n一緒に雪遊び……しませんか？,프로듀서도、이쪽에서\n함께 눈놀이…… 하지 않겠습니까?
蒼い光に照らされて、私はどこ\nまでも輝いていきます。プロデ\nューサー、見ててください,푸른 빛에 비추어져、나는 어디\n까지라도 빛나 갑니다. \n프로듀서、보고 있어 주세요
ほら、プロデューサー、\n一緒に行きましょう,이봐요、프로듀서、\n함께 갑시다
このまま行きますよ！\n最後まで私に\nついてきてください！,이대로 가요! \n끝까지 나에게\n따라 와 주세요!
プロデューサー！　わたしね、\nプロデューサーが見ててくれる\nと、いーっぱい頑張れるんだ！,프로듀서! 나、\n프로듀서가 보고 있어서\n잔뜩 노력할 수 있어!
ステージでわたしの『楽しい』\nを歌うから！　プロデューサー\nも聴いててね──！,스테이지에서 나의 『즐거움』\n을 노래하기 때문에! 프로듀서\n도 들어줘─!
夏の恋は……\n太陽みたいに眩しいのかな？\nあ、夏が過ぎたらどうなるの？,여름의 사랑은……\n태양같이 눈부신 것인지? \n아、여름이 지나면 어떻게 되는 거야?
わたしね、星みたいに……\n……でも星よりも近くで、\nみんなを照らす光になりたい！,나、별같이……\n…… 하지만 별보다 근처의、\n모두를 비추는 빛이 되고 싶다!
誰かと一緒にご飯食べて、\nそいで美味しかねって言って\n……そういうのって幸せやね,누군가와 함께 밥 먹어、\n그래서 맛있다고 말해주면 \n…… 그러한 것은 행복이넹
今日……こん世界は、\nうちらの名を記憶する──,오늘…… 이 세계는、\n울덜의 이름을 기억한다─
ば～りばりのお姫様に\nなっちゃるけん──\n迎えにきてほしかぁ,빨~리 빨리 공주님이\n되었으니까─\n데리러와줭
征かんばね──\n大・航・海……──！,정복하렁─\n대·항·해……─!
遅かったですねー\n待ちくたびれちゃいましたぁ,늦었네요―\n기다리다 녹초가 되어 버렸습니다아
退屈な運命なんて興味ない\n……言ってる意味、\nわかりますよねー？,지루한 운명 같은거 흥미없는 \n…… 말하고 있는 의미、\n아시겠죠―?
白鳥！？　可愛い！　可愛いわ！　ねぇこれ使いましょうよ、プロデューサー……！,백조!? 귀엽다! 귀여워요! 응 이거 사용하죠、프로듀서……!
雨上がりの虹が見たいの\n一緒に来てくれる？,비가 갠 뒤의 무지개를 보고 싶은 데\n함께 와 줄래?
に、似合ってるならいいのよ…！\nアナタの期待に応えてみせるわ\nプロデューサー！,어、어울린다면 좋은거야…! \n당신의 기대에 응해 보여요\n프로듀서!
豪勇の特攻隊長、有栖川夏葉！\nさあ……道をあけなさい！\nテッペン、取らせてもらうわよ,호용 특공대장、아리스가와 나츠하! \n자…… 길을 비우세요! \n정상、차지해요
う～ん……こんなカンジかなぁ\nあ～！　でもそろそろ出ないと\n待たせちゃうよ～！,응…… 이런 느낌일까\n아~! 그렇지만 슬슬 나가지 않으면\n기다리게 해 버린다~!
みんなで咲かせたステージ\nすっごく素敵だったね☆,모두가 피운 스테이지\n굉장히 멋졌지☆
プロデューサーさん\nあのクラゲ、他のよりなんか\nふわふわしてるよ～☆,프로듀서님\n그 해파리、다른 것보다 뭔가\n둥실둥실 하고 있다~☆
甘奈の未来\nプロデューサーさんとなら\nきっと素敵になるよね,아마나의 미래\n프로듀서님과 함께라면\n반드시 멋지게 될거야
プロデューサーさんの、おかげで……\n甜花も、咲けたんだ……,프로듀서님、덕분에……\n텐카도、필 수 있던 것이다……
今、この時間だけは\n──ふたり占め……なんて,지금、이 시간만은 \n─두 사람 점유……라는
今日のステージをたとえるなら\n開花の時──そんな気持ちです\n……ふふ、大げさでしょうか？,오늘의 스테이지를 비유한다면\n개화의 시기─그런 기분입니다 \n…… 후후、과장될까요?
この場所には……\n小さな幸せが、\nたくさんですね……！,이 장소에는……\n작은 행복이、\n많네요……!
神様も知らない　秘密の花園\n夜が明ける前に会いに来て──,신님도 모르는 비밀의 화원\n밤이 끝나기 전에 만나러 와서─
眩しい日差し、足をくすぐる波\nそこに集う人たちの笑顔……\n本当に、海は素晴らしいね,눈부신 햇볕、다리를 간질이는 물결\n거기에 모이는 사람들의 웃는 얼굴……\n정말로、바다는 훌륭하다
この場所に孤独はないよ\n私たちが歌い続ける限りね,이 장소에 고독은 없어\n우리가 계속 노래하는 한
カメラの前で、私はアイドルだ\nけれど、アナタが向けるカメラの前では……どうなのだろうか,카메라의 앞에서、나는 아이돌이다\n하지만、당신이 보내는 카메라의 앞에서는…… 어떨까
この青い空に沈もうか\n──その先に、まだ知らない色が待っているなら,이 푸른 하늘에 가라앉을까 \n─그 전에、아직 모르는 색이 기다리고 있다면
さぁて、Ｐたんはいつまで\nおふざけってことで\n流せるのかな～？,그런데、P땅는 언제까지\n장난이라는 것으로\n흘릴 수 있을까나~?
この先は三峰たちの時間だよ\n──振り落とされない覚悟はできてる？,이 앞은 미츠미네들의 시간이야 \n─떨어지지 않을 각오는 되었어?
プロデューサーさんの優しさが\n手にもほっぺにも\nあったかいです……！,프로듀서님의 상냥함이\n손에도 볼에도\n따뜻합니다……!
お待たせしました！\nあなたのチョコアイドル、\nここに爆誕ですよ！,오래 기다리셨습니다! \n당신의 초콜렛 아이돌、\n여기에 폭탄이에요!
『両手に花』ならぬ、\n『両手にチョコ』です！\n……えへ、誤魔化せませんかね,『양 손에 꽃』안되면、\n『양손에 초콜렛』입니다! \n…… 에헤、속일 수 있지 않습니까
チョコレート番長、園田智代子\nナメてかかっちゃダメですよ？\n今日の私はビターですから,초콜릿 두목、소노다 치요코\n걸리면 안되요? \n오늘의 나는 비타이기 때문에
アタシこそ、\n自分のことばっかで……\nこのままじゃ、駄目だよな,나야말로、\n자신뿐……\n이대로는、안돼
アタシなりの青春……\nめいっぱい楽しむから、\n見ててくれよな！,나 나름의 청춘……\n힘껏 즐기기 때문에、\n보고 있어 줘!
クリスマスに浮かれて、風邪引\nいたりすんなよ！　体調管理も\n仕事のうちなんだからな……！,크리스마스에 들떠、감기라니\n봐주지 마! 컨디션 관리도\n일 인거니까……!
金色の猛獣、西城樹里！\nこの程度の相手……\nアタシひとりで楽勝だぜ！,금빛의 맹수、사이죠 쥬리! \n이 정도의 상대……\n나 혼자서 낙승이다!
幾百の……朱をくぐって……\n貴方さまのもとに……,기백의…… 주홍을 뚫고……\n당신 곁으로……
五色の革命……\nいざ……仕ります……,5색의 혁명……\n자…… 하옵니다……
あの時……下駄の鼻緒が……\n切れていなければ──,그 때…… 나막신의 끈이……\n끊어지지 않았으면─
群青き導火線、杜野凛世……\nふふ……\n発火まで……ゼロ秒です……,군청색 도화선、모리노린제……\n후후……\n발화까지…… 0초입니다……
聞こえますか……\nプロデューサーさん……,들립니까……\n프로듀서님……
鉄よ……歌いなさい……\nあなたの小鳥のかわりに……,금속…… 노래하세요……\n당신의 작은 새 대신에……
アーマードタイプは、装甲を強化することで攻撃力もアップしてるんです！,아머드타입은、장갑을 강화하는 것으로 공격력도 올라가고 있습니다!
あたしたちが揃えば無敵です！\n一番スゴいアイドルを目指して……レッツゴー！　です！,우리가 모이면 무적입니다! \n최고의 아이돌을 목표로 해…… 렛츠 고! 입니다!
キラキラのシャボン玉……\nプロデューサーさんとだと、いつもよりキラキラして見えます,반짝반짝 비눗방울……\n프로듀서님과 하니、평소보다 반짝반짝 합니다
紅蓮の英雄団長、小宮果穂！\n流星マメ丸号は、スッゴく速くて……とにかくスゴいんです！,홍련의 영웅 단장、코미야 카호! \n유성 마메마루호는、굉장하고 빠르고…… 어쨌든 굉장합니다!
プロデューサーさん\n見守っていてくれますか？,프로듀서님\n지켜봐주실래요?
鳩さんとのんびりお話して\n一緒にいるのは、すごく\n楽しいんです,비둘기씨와 한가로이 이야기 하고\n함께 있는 것은、굉장히\n즐겁습니다
プロデューサーさんと\n一緒ならどこまでも頑張れ\nそうです,프로듀서님과\n함께라면 어디까지라도 힘낼 수\n있을 것 같아요
はむっ……うん\nチョコ、甘くておいしいです！,하믓…… 응\n초콜렛、달콤하고 맛있습니다!
最近見つけた\nとってもおいしいチョコの\n食べ方なんですけど……,최근 찾아낸\n매우 맛있게 초콜렛을\n먹는 방법입니다만……
あっ、プロデューサーさん、\nお帰りなさい！,앗、프로듀서님、\n어서 오세요!
……やっぱ、あれじゃあ\nバレンタイン用には\nカウントされなかったか……,… 역시、그건\n발렌타인용으로\n카운트 되지 않은건가…
……なんだよ\n人の顔をじろじろ\n見やがって……,……뭐야\n사람 얼굴을 뚜러져라\n쳐다보고……
アンタの言葉聞いてると、\nなんつーか自信がつくよ,너의 말을 들으면、\n왠지 자신감이 생겨
アタシはこれからもっと\n頑張ってく。アンタは\nしっかりサポートしてくれよ！,나는 지금부터 더\n힘낼게、너는\n제대로 서포터 해주라고!
プロデューサーさまに……\n見ていただける……\nそれだけで……,프로듀서님에게……\n보여지는 것……\n그것만으로……
凛世も……\n勉強中の身でございます……,린제도……\n공부중인 몸입니다……
貴方さまのため、\n邁進して、\n参ります,당신을 위해서、\n매진해、갑니다
いい？\n目指すならトップだけよ！,좋아? \n목표라 한다면 톱뿐이야!
おはよう、プロデューサー,안녕、프로듀서
……プロデューサー？\nどうしたの、ボーっとして,…… 프로듀서? \n무슨 일이야、멍-하니 있어
ね、プロデューサーさん\n甘奈、どうかな？,저기、프로듀서님\n아마나、어떨까?
甜花ちゃんのこと考えてたんだ\n今頃何してるかな～って\n気になっちゃって,텐카쨩을 생각하고 있었어\n지금쯤 뭐하고 있을까~ 라고\n신경 쓰여서
プロデューサーさん、\n甘奈のこと、\nちゃんと見ててよね！,프로듀서님、\n아마나의 일、\n제대로 봐줘!
挨拶は、プロデューサーさんに\n教えていただいた\n基本、ですから,인사는. 프로듀서님이\n가르쳐 준\n기본. 그러니까
……私にできることがあったら\nなんでも、言ってくださいね,…… 제가 할 수 있는 일이 있으면\n뭐든지、말해 주세요
いつか、プロデューサーさんに\n本当に頼ってもらえるように\nなりたいなって……,언젠가、프로듀서님이\n정말로 의지할 수 있게 되고\n싶은……
……綺麗な夕日\n見られてよかったです,……예쁜 석양\n볼 수 있어서 좋았던 것입니다
あはは、\nワクワクしてきたっす！,아하하、\n두근두근 해 왔슴다!
プロデューサーさん、この間\nすごい人見つけたんすよ！,프로듀서님、요전에\n굉장한 사람을 찾았슴다!
あ、どしたっすか？　\nプロデューサーさん？,아、무슨일임까? \n프로듀서님?
プロデューサーさんには……\nなんでもお見通しなんですね♡,프로듀서님은……\n뭐든지 꿰뚫어 보는군요♡
ふゆは、どんなアイドルになれると思いますか？,후유는、어떤 아이돌이 될 수 있다고 생각합니까?
もっともっと、みんなに\n楽しい気持ちを届けられるよう頑張ります,좀더 좀더、모두에게\n즐거운 마음을 보내도록\n노력하겠습니다
プロデューサー？\nどうしました？,프로듀서? \n무슨 일입니까?
これから仕事だというのに\n気が緩んでいますよ！,지금부터 일이라고 하는데\n기분이 느슨해지고 있어요!
……プロデューサー、私\n成長できているんでしょうか？,…… 프로듀서、나\n성장하고 있습니까?
ほらほら、\nプロデューサー、早く行こ！,하라하라、\n프로듀서、빨리 가자!
プロデューサーが\nいてくれるから、\nどこまででも進めるよ！,프로듀서가\n있어 주기 때문에、\n어디까지라도 나아갈거야!
応援してもらえて、\nわたしすっごく嬉しいよ！,응원 해줘서、\n나 굉장히 기뻐요!
プロデューサー……\nありがと～！\nうちは平気たい！,프로듀서……\n고마웡~! \n나는 멀쩡혀!
おお……なるほど……！\n参考になるばい～！\nさすがプロデューサー！,오오…… 과연……! \n참고가 된다잉~! \n과연 프로듀서!
大船に乗ったつもりで\nうちにまかしとって！,커다란 배에 탑승한 기분으로\n나에게 맡겨보쇼잉!
あ、プロデューサー\nじゃないですかぁ\nどーしたんですかぁ？,아、프로듀서\n가 아닙니까\n무슨 일입니까?
ふわぁ～\nおはよーございまぁす\nまだ眠いですよー,후와~\n안녕하세요 \n아직 졸려요
私、悪い子ですからぁ、\nイタズラは好きですよー,나、나쁜 아이이기 때문에、\n장난은 좋아해요
やあ、私に何か用かな？,야아、나에게 무슨 용무일까?
これからも頼りに\nさせてもらうよ,앞으로도 의지하게\n해줄게
私をプロデュースするのは、\n楽しいかい？,나를 프로듀스하는 것은、\n즐거워?
それよりプロデューサー\n聞いて聞いて！,그것보다 프로듀서\n들어봐들어봐!
プロデューサーは心配性だなぁ\n三峰なら平気だって,프로듀서는 걱정 많은 성격이구나\n미츠미네라면 괜찮다고
プロデューサーは、アイドルを\nやる気にさせる天才かもね,프로듀서는、아이돌을\n격려하는 데에 천재일지도
……ふふ、包帯、\nいつもより\n上手く巻けたかも……♪,…… 후후、붕대、\n평소보다\n능숙하게 감을 수 있었는지도……♪
行ってきます、\nプロデューサーさん！,갔다옵니다、\n프로듀서님!
まき……まき……♪\n……ふふ,마킹…… 마킹……♪\n…… 후후
こんにちはーっ！,안녕하세요!
ヒーローみたいに\nなれるように、\n頑張りますっ！,히어로같이\n되도록、\n노력하겠습니닷!
ヒーローだって\n特訓して\n強くなっていくんです！,히어로처럼\n특훈해\n강해집니다!
ぷ、プロデューサーさん……\n今日は……えと、その……\n……なんでもない、です……,프、프로듀서님……\n오늘은…… 저기、그……\n……아무것도 아니、에요……
なーちゃんは……\nいつも優しくて、元気で……\n甜花、大好き……,나쨩은……\n언제나 상냥하고、건강해……\n텐카、너무 좋아……
甜花……頑張りましゅ！,텐카…… 노력하겠습니다!
あ、プロデューサーさん……,아、프로듀서님……
たーまやー……\n……たまやさんって、何屋さんなんだろ……,타-마야―……\n…… 타마야씨는、뭐하는 사람일까나……
やっぱ～、\nうちってゲーノー人の才能\nあるっぽくない？,역시~、\n나는 연예인의 재능\n있는거 같지않아?
ねぇねぇ、プロデューサー、\nちょっと聞いてよ～,있지있지、프로듀서、\n좀 들어봐요~
ガンガン行くからね？\n覚悟してよ、プロデューサー！,땅땅 가기때문에 \n각오해요、프로듀서!
プロデューサーさま、その……ゆく雲の『白き』……──よき日でございます……,프로듀서님、그… 흘러가는 구름이 『하얀』…좋은 날이옵니다…
ふふ……凛世も……持って参りました……感謝の日だと……聞いておりますゆえ……,후후… 린제도… 가지고 왔습니다… 감사의 날이라고…들었기 때문에……
にへへ……\nバニラも……チョコも……\n美味しい……,에헤헤……\n바닐라나…… 초콜렛도……\n맛있다……
帰りましょう……\nお日さまと……一緒に……,돌아갑시다……\n햇님과…… 함께……
…………\n何かを言うのは良くないね\nアナタに会えただけで十分さ,﻿………\n뭔지를 말하는건 좋지 않겠지\n당신과 만난것 만으로 충분해
ありがとう\nアナタはとても義理堅いね\n私も、次は応えなくては,고마워\n당신은 매우 의리가 있네\n나도、다음에는 보답할께
──……っと……\nあ、えっと……ありがとう\nこれは……嬉しい、ものだね,─…… 와……\n아、엣또…… 고마워\n이건…… 기쁜、것이네
ねぇＰたーん、三倍返しの\n法則って知ってる？　三峰、\nまだゼロなんだけどな～,저기 P땅、3배 반환의\n법칙 알고 있어? 미츠미네\n아직 제로인 상태인데 말야~
三峰ももらっていいの？\nやったラッキー♪\nさすがＰたん、マメだよねぇ,미츠미네 받아도 좋은거야? \n와 럭키─♪\n과연 P땅、성실하네
こんなちゃんとしたもの\nくれなくてもよかったのに\n……嬉しい。ありがとう,이런 제대로 된 거\n주지 않아도 괜찮은데 \n……기뻐. 고마워요
気にしないでください……アーモンドさんたちと……お友達に……なってもらえればって……,신경쓰지 말아주세요… 아몬드씨들과… 친구가… 되어주었으면 해서요…
プロデューサーさん……！　ふふ……それじゃ……アーモンドチョコ……どうぞ……,프로듀서님…! 후후… 그러면… 아몬드 초콜렛… 받아 주세요…
わ……ありがとうございます……ふふ……きっと……とっても……優しいお菓子……,와… 감사합니다… 후후… 무척이나… 상냥한 과자…
今日は学校でたっくさんクッ\nキーを配りました！\nお返しの日！　です！,오늘은 학교에서 잔뜩\n쿠키를 나눠줬습니다! \n답례하는 날! 이에요!
お菓子！　美味しそうです！\nえっ食べてもいいんですか？\nえへへ、いただきまーす！,과자! 맛있어 보여요! \n어 먹어도 되나요? \n에헤헤、잘 먹겠습니다!
バレンタインのお返し……！\nスッゴくスッゴくうれしいで\nす！　開けていいですか！？,발렌타인의 답례……! \n진짜 진짜 기뻐요\n받아도 되나요!?
もちろん、ホワイトデーも\nチョコ装備です！　お返し、\n配らなきゃですからね！,물론、화이트데이도\n쵸코 장비완료예요! 답례\n나눠주지 않으면 안되니까요!
そんな、恐縮すぎます……！\n先月何もできなかったの、一\n生の不覚なんですから……！,아니、너무 감사한데요!\n지난달 아무것도 못 해드린 거、일생일대의 실수인데……!
わぁっ……！　頂いちゃって\nいいんですか……！？　えへ\nへ、ありがとうございます！,와앗…! 받아도\n좋습니까…!? \n에헤헤、감사합니다!
え！？　あ……アタシ、何か\nしたっけ……──あ、いや\nなんでもねーよ……さんきゅ,에!? 나… 나、뭔가\n했던가… 아、아니\n아무것도 아니야… 땡큐
──あ、アタシにか！！？\n……なら、もっとちゃんとし\nたの渡しときゃよかった……,─나、나한테 주는거야!? \n…그럼、좀 더 제대로 된 걸\n줄 걸 그랬어……
ねえ、プロデューサーには\n私の感謝の気持ち、\n届かなかったのかしら……？,저기、프로듀서에게는\n내 감사의 마음、\n전해지지 않았던걸까…?
あら、これって……！\nありがとう、頂くわ。お返し\n期待していてちょうだい！,아라、이것은…! \n고마워、잘 받을게. 답례\n기대하고 있어 줘!
うふふ、うれしいわ\nお返しがあるってことは、\n気持ちが伝わったのよね？,우후후、기쁘네\n답례가 있다는 것은、\n마음이 전해졌다는 거겠지?
プロデューサーさん！\nなーんか、忘れちゃってたり\nしないかな～、なんて,프로듀서님!\n뭔~가、잊고 있다거나\n하지 않은걸까~、랄까
えーっ！　もらっていいの？\n今度、ぜーったい\nお礼するからね☆,엣! 받아도 좋은거야? \n이거、절대\n답례할께요☆
素敵なお返し、ありがと！\nえへへ、もったいなくて\n食べられないかも☆,멋진 답례、고마워요! \n에헤헤、아까워\n먹을 수 없을지도☆
これ、もらっていいの……？\nにへへ、ありがと……\nでも、なんでだっけ……？,이거、받아도 좋은거야…? \n니헤헤、고마워요…\n하지만、왜 그런걸…?
甜花の、へたっぴだった……\nでも、もらっていいの……？\nなら……一緒に食べたい、な,텐카의、실수였다…\n하지만、받아도 좋은거야…? \n그러면… 함께 먹고 싶은、
プロデューサーさ〜ん……\n……私、期待しちゃってた\nみたいです……,프로듀서님…\n… 저、기대하고 있었던것\n같아요……
そっかぁ、今日はホワイト\nデーでしたね……！　ふふっ\nありがとうございます♪,그런가、오늘은 화이트\n데이였지요……! 후후\n감사합니다♪
わ……！　お返しなんて……\nでも、とっても嬉しいですっ\n……ありがとうございます,와…! 답례라니……\n하지만、매우 기쁩니다 \n… 감사합니다
マシュマロクッキーを作ったんです。プロデューサーさんも、おひとついかがですか？,마쉬멜로 쿠키를 만들어봤어요. 프로듀서도、한개 어떠세요?
ほわっ……このプレゼントは……？　えっと、あのっ……あ、ありがとうございますっ,호왓…… 이 선물은……? 엣또、저…… 가、감사합니닷
あ、ありがとうございますっ\n……大事に、いただきますね\nプロデューサーさん……っ,가、감사합니다 \n…… 소중하게、받을게요\n프로듀서님……
プロデューサー……\nあの……チョコレート……\nお口に合いませんでしたか？,프로듀서…\n저기… 그 초콜릿…\n입에 맞지 않으셨나요?
そ、そんな……悪いです！\n私からは何も……\nお渡しできていないのに,그、그런… 죄송해서! \n저는 아무것도…\n드린게 없는데
え？　お返し、ですか……？\n……ありがとうございます\nしっかり、味わって食べます,에? 답례、입니까……? \n…… 감사합니다 \n확실히、음미하면서 먹을게요
ねぇねぇ、プロデューサー！\nクイズだよっ！\n今日は何の日でしょうか！,있지있지、프로듀서! \n퀴즈라구! \n오늘은 무슨 날일까~요!
わぁ！　これ、くれるの？\nありがとうプロデューサー！\n大事に食べるねっ,와아! 이거、주는거야? \n고마워요 프로듀서! \n소중하게 먹을께
お返し目当てだったんじゃな\nいよ？　でも、ありがとう！\n今すぐ食べてもいいかなっ？,답례받는게 목적이 아니었다구\n그렇지만、고마워요! \n지금 먹어도 괜찮을까?
白くてやわらかかやつとか～\n茶色のサクサクのやつとか～\nん～、なんか忘れとらん～？,흰색에 말랑한 거라던가~\n갈색의 바삭한거라던가~\n으~、뭔가 잊은게 있지않앙?
う、うちも……！\nこの間、渡せんかったけん\n交換したか……！,나、나도……! \n이번에、못 줬응께\n교환이라잉……!
